jj,amount,label
1.02,136.22,BestIndividual
1.02,136.22,BestLast
50.35,6953.64,BestInitial
50.23,6712.17,BestIndividual
60.49,1373.5,BestIndividual
50.78,985.09,BestIndividual
28.98,663.81,BestIndividual
11.51,337.45,BestIndividual
10.04,302.93,BestIndividual
10.04,302.71,BestIndividual
10.98,289.44,BestIndividual
14.18,270.41,BestIndividual
14.36,261.21,BestIndividual
14.28,225.85,BestIndividual
14.55,221.32,BestIndividual
11.73,220.77,BestIndividual
17.73,133.45,BestIndividual
17.82,130.52,BestIndividual
17.87,130.28,BestIndividual
17.13,128.86,BestIndividual
17.14,128.13,BestIndividual
19.05,128.07,BestIndividual
18.87,121.7,BestIndividual
18.79,121.67,BestIndividual
17.11,120.76,BestIndividual
17.77,119.8,BestIndividual
15.73,119.24,BestIndividual
13.48,119.96,BestIndividual
13.36,119.97,BestIndividual
13.07,119.96,BestIndividual
10.32,102.07,BestIndividual
9.77,106.97,BestIndividual
9.21,106.82,BestIndividual
9.2,106.82,BestIndividual
9.18,106.81,BestIndividual
8.84,115.85,BestIndividual
8.75,115.85,BestIndividual
8.68,115.67,BestIndividual
8.35,115.67,BestIndividual
6.59,106.5,BestIndividual
6.58,106.51,BestIndividual
5.84,103.41,BestIndividual
4.88,105.43,BestIndividual
4.69,101.57,BestIndividual
4.25,113.94,BestIndividual
4.12,114.39,BestIndividual
3.74,115.52,BestIndividual
3.74,115.5,BestIndividual
3.34,116.72,BestIndividual
3.31,118.09,BestIndividual
3.23,118.07,BestIndividual
3.04,115.74,BestIndividual
2.54,117.56,BestIndividual
2.41,117.59,BestIndividual
2.41,117.57,BestIndividual
2.4,118.06,BestIndividual
2.4,117.49,BestIndividual
2.4,117.65,BestIndividual
2.39,117.66,BestIndividual
2.38,117.67,BestIndividual
2.38,117.68,BestIndividual
2.38,117.69,BestIndividual
2.28,117.04,BestIndividual
2.26,117.42,BestIndividual
2.22,117.9,BestIndividual
2.18,118.08,BestIndividual
2.17,118.11,BestIndividual
2.16,117.91,BestIndividual
2.15,118.02,BestIndividual
2.14,117.39,BestIndividual
2.14,117.4,BestIndividual
2.12,117.37,BestIndividual
2.05,117.3,BestIndividual
2.05,117.31,BestIndividual
2.05,117.32,BestIndividual
2.04,117.3,BestIndividual
2.03,117.42,BestIndividual
2.03,117.42,BestLast
450.13,5967.09,BestInitial
18.93,1005.79,BestIndividual
19.3,426.33,BestIndividual
19.14,360.86,BestIndividual
15.28,355.93,BestIndividual
16.47,355.91,BestIndividual
21.77,191.34,BestIndividual
24.69,170.37,BestIndividual
25.17,168.59,BestIndividual
30.39,156.15,BestIndividual
25.01,126.41,BestIndividual
24.32,142.62,BestIndividual
24.24,142.07,BestIndividual
23.84,129.35,BestIndividual
23.7,130.28,BestIndividual
22.22,144.99,BestIndividual
21.98,144.13,BestIndividual
21.88,144.03,BestIndividual
17.86,149.59,BestIndividual
15.51,143.93,BestIndividual
15.48,144.3,BestIndividual
15.36,142.59,BestIndividual
15.3,142.61,BestIndividual
15.28,146.27,BestIndividual
15.2,146.2,BestIndividual
15.13,123.82,BestIndividual
15.01,123.72,BestIndividual
14.81,142.06,BestIndividual
14.72,141.9,BestIndividual
14.56,142.82,BestIndividual
14.55,142.81,BestIndividual
6.63,123.38,BestIndividual
5.91,146.43,BestIndividual
5.87,136.47,BestIndividual
5.79,134.7,BestIndividual
5,139.99,BestIndividual
